Tau,43.84,-5.6,1,87Alp Tau
Tau,42.49,-2.77,3.3,74Eps Tau
Tau,47.79,-3.85,4,97    Tau
Tau,51.33,-4.45,5,104    Tau
Tau,51.88,-2.7,5,106    Tau
Tau,58.86,-2.43,3,123Zet Tau
Tau,46.24,0.49,4,94Tau Tau
Tau,56.65,5.23,3,112Bet Tau
Tau,42.53,0.91,5,69Ups Tau
Tau,42.24,0.43,5,65Kap1Tau
Tau,37.5,1.08,5,37    Tau
Tau,40.17,-0.95,6,50Ome2Tau
Tau,39.77,5.11,5,44    Tau
Tau,39.44,7.72,5,42Psi Tau
Tau,42.2,3.8,5,59Chi Tau
Tau,42.02,5.61,5,52Phi Tau
Tau,33.52,4.18,5,16    Tau
Tau,33.5,4,5,17    Tau
Tau,34.08,3.86,5,25Eta Tau
Tau,35.03,5.2,4,
Tau,26.17,-18.42,4,10    Tau
Tau,50.83,-1.42,5,102Iot Tau
Tau,54.65,-1.21,5,109    Tau
Tau,56.58,-1.53,5,114    Tau
Tau,61.08,-5.92,5,130    Tau
Tau,60.86,-7.82,5,129    Tau
Tau,57.12,1.67,5,118    Tau
Tau,59.52,2.3,5,125    Tau
Tau,61.58,0.91,5,132    Tau
Tau,62.6,3.94,5,136    Tau
Tau,63.63,2.27,5,139    Tau
,,,,
Gem,84.4,9.96,2,66Alp Gem
Gem,87.6,6.54,2,78Bet Gem
Gem,75.19,10.81,4,34The Gem
Gem,79.53,7.54,4,46Tau Gem
Gem,83.09,5.58,4,60Iot Gem
Gem,85.43,5.05,4,69Ups Gem
Gem,87.75,2.88,4,77Kap Gem
Gem,82.96,2.75,5,57    Gem
Gem,84.44,-0.62,5,63    Gem
Gem,74.02,1.83,3,27Eps Gem
Gem,79.08,-2.28,3,43Zet Gem
Gem,82.61,-0.41,3,55Del Gem
Gem,82.89,-5.85,3,54Lam Gem
Gem,67.55,-1.13,3.7,7Eta Gem
Gem,69.35,-1.01,3.7,13Mu  Gem
Gem,70.89,-3.29,3.7,18Nu  Gem
Gem,73.19,-6.95,3,24Gam Gem
Gem,75.35,-10.24,4,31Xi  Gem
Gem,65.04,-0.35,4,1    Gem
Gem,67.48,5.99,3.7,44Kap Aur
Gem,76.04,-1.37,5,36    Gem
Gem,91.14,-1.08,5,85    Gem
Gem,89.21,-2.84,5,81    Gem
Gem,87.76,-3.97,5,74    Gem
Gem,95.4,-2.4,4,16Zet1Cnc
,,,,
Cnc,101.28,1.37,8,
Cnc,99.5,1.4,4.3,33Eta Cnc
Cnc,99.84,-0.93,4.3,31The Cnc
Cnc,101.66,3.03,3.7,43Gam Cnc
Cnc,102.78,0,3.7,47Del Cnc
Cnc,107.71,-5.25,4,65Alp Cnc
Cnc,100.4,10.26,4,48Iot Cnc
Cnc,93.54,1.17,5,10Mu 2Cnc
Cnc,98.38,-10.46,3.7,17Bet Cnc
Cnc,110.75,-1.1,4.3,82Pi 2Cnc
Cnc,110.28,-5.73,4.3,76Kap Cnc
Cnc,105.1,7.11,5,69Nu  Cnc
Cnc,107.28,5.25,5,77Xi  Cnc
,,,,
Leo,109.35,10.28,4,1Kap Leo
Leo,111.93,7.75,4,4Lam Leo
Leo,115.57,12.26,3,24Mu  Leo
Leo,114.77,9.57,2.7,17Eps Leo
Leo,121.59,11.73,3,36Zet Leo
Leo,123.48,8.71,2,41Gam1Leo
Leo,121.97,4.74,3,30Eta Leo
Leo,124.03,0.39,1,32Alp Leo
Leo,124.53,-1.49,4,31    Leo
Leo,121.43,-0.07,5,27Nu  Leo
Leo,117.56,0.21,5,16Psi Leo
Leo,115.77,-3.25,5,5Xi  Leo
Leo,118.41,-3.86,4,14Omi Leo
Leo,123.42,-4.02,4,29Pi  Leo
Leo,130.47,0.06,4,47Rho Leo
Leo,128.55,4.47,6,46    Leo
Leo,131.76,5.89,6,52    Leo
Leo,133.75,2.74,6,53    Leo
Leo,132.89,12.81,6,60    Leo
Leo,135.24,14.29,2.3,68Del Leo
Leo,139.66,11.68,5,81    Leo
Leo,137.48,9.66,3,70The Leo
Leo,141.54,6.06,3,78Iot Leo
Leo,142.82,1.68,4,77Sig Leo
Leo,145.59,-0.59,4,84Tau Leo
Leo,149.14,-3.08,5,91Ups Leo
Leo,145.86,12.39,1.3,94Bet Leo
Leo,127.57,13.88,5,41    LMi
Leo,129.56,16.42,5,54    Leo
Leo,138.74,1.37,4.3,63Chi Leo
Leo,138.11,-0.25,5,59    Leo
Leo,139,-2.57,5,58    Leo
Leo,147.86,28.43,7,15Gam Com
Leo,147.62,23.45,7,7    Com
Leo,152.45,24.11,7,23    Com
,,,,
Vir,148.19,4.65,5,3Nu  Vir
Vir,147.36,6.09,5,2Xi  Vir
Vir,151.86,8.54,5,9Omi Vir
Vir,151.61,6.16,5,8Pi  Vir
Vir,150.84,0.66,3,5Bet Vir
Vir,158.93,1.41,3,15Eta Vir
Vir,164.52,2.93,3,29Gam Vir
Vir,169.3,2.43,5,44    Vir
Vir,172.32,1.85,4,51The Vir
Vir,165.72,8.79,3,43Del Vir
Vir,159.48,13.59,5,30Rho Vir
Vir,161.51,11.62,6,32    Vir
Vir,164.09,16.3,2.7,47Eps Vir
Vir,177.95,-1.93,1,67Alp Vir
Vir,176.33,8.76,3,79Zet Vir
Vir,177.7,3.26,5,74    Vir
Vir,179.34,-0.29,6,76    Vir
Vir,180.83,1.82,4.3,82    Vir
Vir,178.91,-3.21,5,68    Vir
Vir,183.13,-1.26,5,86    Vir
Vir,181.27,9.74,5,90    Vir
Vir,187.79,7.55,4,99Iot Vir
Vir,188.59,2.98,4,98Kap Vir
Vir,189.56,11.93,4,105Phi Vir
Vir,191.05,0.63,4,100Lam Vir
Vir,194.08,9.97,4,107Mu  Vir
Vir,166.28,-3.39,5,26Chi Vir
Vir,170.3,-3.35,5,40Psi Vir
Vir,173.83,-3.17,5,49    Vir
Vir,176.79,-7.71,6,53    Vir
Vir,179.43,-8.47,5,61    Vir
Vir,186.1,-6.21,6,89    Vir
,,,,
Lib,199.2,0.56,2,9Alp2Lib
Lib,198.27,2.22,5,7Mu  Lib
Lib,203.48,8.71,2,27Bet Lib
Lib,199.37,8.44,5,19Del Lib
Lib,205.1,-1.64,4,24Iot1Lib
Lib,202.86,1.4,4,21Nu  Lib
Lib,209.18,4.58,4,38Gam Lib
Lib,213.91,3.61,4.3,46The Lib
Lib,207.56,9.18,5,37    Lib
Lib,214.47,6.31,4.3,48    Lib
Lib,215.4,9.47,4.3,Xi  Sco
Lib,214.56,0.31,6,45Lam Lib
Lib,211.84,0.25,5,43Kap Lib
Lib,211.27,-1.28,4,
Lib,204.82,-7.42,3,20Sig Lib
Lib,212.72,-8.29,4,39Ups Lib
Lib,213.46,-9.79,4,40Tau Lib
,,,,
Sco,217.27,1.24,3,8Bet1Sco
Sco,216.66,-1.74,3,7Del Sco
Sco,217.04,-5.24,3,6Pi  Sco
Sco,217.25,-8.36,3,5Rho Sco
Sco,218.72,1.88,4,14Nu  Sco
Sco,217.75,0.46,4,9Ome1Sco
Sco,221.89,-3.8,3,20Sig Sco
Sco,223.85,-4.33,2,21Alp Sco
Sco,225.55,-5.87,3,23Tau Sco
Sco,220.34,-6.44,5,13    Sco
Sco,221.78,-6.84,5,
Sco,229.73,-11.33,3,26Eps Sco
Sco,230.26,-15.17,3,Mu 1Sco
Sco,231.22,-19.42,4,Zet1Sco
Sco,231.39,-19.28,4,Zet2Sco
Sco,234.81,-19.79,3,Eta Sco
Sco,239.68,-19.4,3,The Sco
Sco,241.61,-16.46,3,Iot1Sco
Sco,240.56,-15.38,3,Kap Sco
Sco,238.68,-13.53,3,35Lam Sco
Sco,238.1,-13.75,4,34Ups Sco
Sco,242.79,-9.5,8,
Sco,236.95,-6.31,5,45    Oph
Sco,241.33,-4.17,5,3    Sgr
,,,,
Sgr,245.37,-6.65,3,10Gam2Sgr
Sgr,248.64,-6.21,3,19Del Sgr
Sgr,249.18,-10.74,3,20Eps Sgr
Sgr,250.43,-1.8,3,22Lam Sgr
Sgr,247.29,2.59,4,13Mu  Sgr
Sgr,256.46,-3.18,3,34Sig Sgr
Sgr,254.23,-3.71,4,27Phi Sgr
Sgr,256.55,0.35,8,32Nu 1Sgr
Sgr,257.52,1.91,4,37Xi 2Sgr
Sgr,259.04,1.13,4,39Omi Sgr
Sgr,260.34,1.69,4,41Pi  Sgr
Sgr,262.44,3.5,5,43    Sgr
Sgr,263.55,4.44,4,44Rho1Sgr
Sgr,263.82,6.33,4,46Ups Sgr
Sgr,268.72,5.38,6,55    Sgr
Sgr,272.53,5.35,5,61    Sgr
Sgr,270.5,2.11,6,57    Sgr
Sgr,263.39,-2.23,5,47Chi1Sgr
Sgr,265.89,-3.01,4,52    Sgr
Sgr,261.1,-2.67,5,42Psi Sgr
Sgr,258.95,-4.73,3.7,40Tau Sgr
Sgr,257.72,-6.94,3,38Zet Sgr
Sgr,259.83,-21.9,2,Bet1Sgr
Sgr,260.69,-18.08,2.3,Alp Sgr
Sgr,247.78,-13.05,3,Eta Sgr
Sgr,268.92,-14.15,3,The1Sgr
Sgr,266.58,-20.46,3,Iot Sgr
Sgr,269.81,-5.22,5,58Ome Sgr
Sgr,270.61,-5.25,5,60    Sgr
Sgr,269.99,-6.09,5,59    Sgr
Sgr,271.12,-6.89,5,62    Sgr
,,,,
Cap,277.93,7.14,3,6Alp2Cap
Cap,278.53,6.79,6,8Nu  Cap
Cap,278.11,4.79,3,9Bet Cap
Cap,276.52,7.49,6,2Xi 2Cap
Cap,279.3,0.64,6,12Omi Cap
Cap,278.79,1.11,6,10Pi  Cap
Cap,279.26,1.4,6,11Rho Cap
Cap,276.76,0.67,5,7Sig Cap
Cap,282.39,3.55,6,14Tau Cap
Cap,281.76,0.42,5,15Ups Cap
Cap,282.02,-8.77,4,18Ome Cap
Cap,281.27,-6.76,4,16Psi Cap
Cap,285.92,-7.9,4,24    Cap
Cap,290.99,-6.83,4,34Zet Cap
Cap,291.58,-6.38,5,36    Cap
Cap,289.09,-4.35,5,28Phi Cap
Cap,287.35,-4.35,5,25Chi Cap
Cap,286.83,-2.81,5,22Eta Cap
Cap,287.89,-0.37,4,23The Cap
Cap,291.74,-1.2,4,32Iot Cap
Cap,294.26,-4.82,4,39Eps Cap
Cap,295.64,-4.66,4,43Kap Cap
Cap,295.78,-2.36,3,40Gam Cap
Cap,297.54,-2.27,3,49Del Cap
Cap,297.17,0.08,4,42    Cap
Cap,299.76,-0.5,5,51Mu  Cap
Cap,299.09,2.08,5,48Lam Cap
Cap,299.5,4.35,5,46    Cap
,,,,
Aqr,302.12,15.5,5,25    Aqr
Aqr,307.47,10.78,3,34Alp Aqr
Aqr,306.21,9.29,5,31Omi Aqr
